year,Population,Adults,Children,Singles,Taken,Hunger Deaths,Old Age Deaths,Average Age,Average Hunger,Average Prowess,Average Selfishness,Average Reciprocity
180,73,34,39,18,55,114,118,18.972602739726028,34.280455717295645,22.96611962517011,49.9041095890411,50.0958904109589
181,74,34,40,17,57,115,120,18.18918918918919,35.387115402958166,23.765740049547066,50.0945945945946,49.9054054054054
182,75,36,39,22,53,115,122,18.32,36.27245317033345,23.27421349633322,50.56,49.44
183,73,37,36,22,51,117,124,17.52054794520548,34.35135350773301,23.936317725143695,49.54794520547945,50.45205479452055
184,75,37,38,22,53,117,126,17.133333333333333,33.94322453414005,24.536775465859947,50.13333333333333,49.86666666666667
185,72,33,39,18,54,118,130,16.22222222222222,31.014768290744957,27.078135417487577,50.375,49.625
186,73,33,40,19,54,118,131,16.575342465753426,32.057503342693416,25.805510355936722,49.93150684931507,50.06849315068493
187,73,35,38,18,55,118,133,16.589041095890412,32.243803446771366,24.929820742070362,50.082191780821915,49.917808219178085
188,76,38,38,20,56,118,133,16.93421052631579,34.709435759412585,24.553722135324254,49.71052631578947,50.28947368421053
189,77,40,37,19,58,118,135,17.233766233766232,34.82671752677839,25.121334421273552,49.064935064935064,50.935064935064936
190,74,39,35,17,57,118,139,17.64864864864865,33.54768980041208,24.87288657657381,49.66216216216216,50.33783783783784
191,72,39,33,17,55,118,142,18.27777777777778,31.287729612789924,25.795839550655433,49.27777777777778,50.72222222222222
192,73,41,32,17,56,118,143,18.602739726027398,32.21374371669813,26.39827984270733,49.35616438356164,50.64383561643836
193,75,42,33,17,58,118,145,18.6,32.88415245498213,26.707055131038125,47.70666666666666,52.29333333333334
194,76,42,34,17,59,118,146,19.263157894736842,34.13486254995609,23.299347976359698,47.723684210526315,52.276315789473685
195,76,41,35,18,58,118,148,19.44736842105263,35.46731970012927,21.440575036712836,47.526315789473685,52.473684210526315
196,75,42,33,16,59,120,148,19.213333333333335,38.9261235912701,17.380543075396563,48.08,51.92
197,73,39,34,16,57,121,152,18.383561643835616,38.24429261777891,17.503688844299937,49.0958904109589,50.9041095890411
198,76,43,33,16,60,121,152,18.657894736842106,40.72853325114448,15.35041411727657,50.73684210526316,49.26315789473684
199,70,38,32,14,56,121,159,18.642857142857142,37.09437346807577,17.319912246209952,52.25714285714286,47.74285714285714
200,66,34,32,16,50,121,165,18.333333333333332,32.13792853983691,22.824428809333796,53.07575757575758,46.92424242424242
201,65,34,31,16,49,121,166,19.06153846153846,32.22115224955701,21.747945740619638,52.6,47.4
202,66,37,29,16,50,121,166,19.772727272727273,32.95243820385996,21.971804220382467,52.54545454545455,47.45454545454545
203,65,37,28,17,48,122,167,19.784615384615385,32.158059738310605,22.8419402616894,52.276923076923076,47.723076923076924
204,65,37,28,17,48,122,169,19.815384615384616,30.871010566047282,25.913913027012946,52.215384615384615,47.784615384615385
205,66,40,26,17,49,122,169,20.515151515151516,30.911455259649316,24.588544740350684,51.86363636363637,48.13636363636363
206,68,42,26,17,51,122,169,20.91176470588235,32.15669347651711,24.299188876424054,52.39705882352941,47.60294117647059
207,68,41,27,15,53,124,169,20.352941176470587,33.405093333540385,20.944908095002706,51.61764705882353,48.38235294117647
208,68,40,28,16,52,124,171,20.33823529411765,32.08825080242871,21.720572726983065,52.39705882352941,47.60294117647059
209,67,41,26,17,50,124,173,20.611940298507463,30.88523435335713,21.88680348461359,51.64179104477612,48.35820895522388
210,69,41,28,17,52,124,174,20.492753623188406,31.5401373182369,22.185170211561744,52.028985507246375,47.971014492753625
211,69,42,27,16,53,124,175,20.942028985507246,33.23073451370762,18.406946645712672,52.81159420289855,47.18840579710145
212,67,42,25,14,53,124,177,21.62686567164179,32.82287767589865,18.654734264399853,53.25373134328358,46.74626865671642
213,66,44,22,13,53,125,178,21.893939393939394,33.99726013162068,17.230012595652052,53.121212121212125,46.878787878787875
214,65,45,20,13,52,125,179,22.73846153846154,33.01784812955824,17.689844178134063,53.646153846153844,46.353846153846156
215,67,46,21,13,54,125,179,23.059701492537314,33.7235310357423,17.93318538216815,54.11940298507463,45.88059701492537
216,66,47,19,13,53,125,180,24.21212121212121,34.49650810795531,15.655007043559841,54.484848484848484,45.515151515151516
217,67,48,19,13,54,125,181,24.65671641791045,34.695814158085334,17.871350021019143,55.04477611940298,44.95522388059702
218,63,45,18,12,51,126,185,24.96825396825397,32.859522271779745,17.44386961216775,56.17460317460318,43.82539682539682
219,60,43,17,12,48,126,188,25.7,30.456243994160886,20.16042267250578,55.35,44.65
220,60,44,16,12,48,126,188,26.7,31.616939246133843,18.999727420532817,55.35,44.65
221,60,43,17,12,48,126,189,27.133333333333333,32.062086023141084,19.471247310192254,54.45,45.55
222,61,43,18,11,50,127,189,26.83606557377049,34.095802202107734,17.652793061582233,55.278688524590166,44.721311475409834
223,59,42,17,11,48,127,192,27.35593220338983,30.6742975099676,20.98671943918494,57.559322033898304,42.440677966101696
224,57,40,17,10,47,128,194,27.017543859649123,30.075864443439,22.648685675113057,57.1578947368421,42.8421052631579
225,58,42,16,10,48,128,194,27.551724137931036,30.33734963504439,22.45575381323147,57.55172413793103,42.44827586206897
226,60,44,16,11,49,129,194,26.583333333333332,32.93574283480598,21.74759049852736,56.38333333333333,43.61666666666667
227,59,44,15,11,48,129,195,27.440677966101696,31.49437108630858,21.268340778098203,56.54237288135593,43.45762711864407
228,59,44,15,13,46,129,195,28.440677966101696,32.25987490029787,20.50283696410891,56.54237288135593,43.45762711864407
229,56,42,14,12,44,129,198,28.642857142857142,28.949511750310347,24.693345392546796,57.982142857142854,42.017857142857146
230,56,41,15,12,44,130,198,28.732142857142858,28.477449042926644,26.575866309175392,57.25,42.75
231,55,41,14,13,42,130,199,29.363636363636363,26.249813900435655,29.350186099564347,57.03636363636364,42.96363636363636
232,53,38,15,12,41,132,200,28.49056603773585,24.228144926450337,29.62097102869949,57.132075471698116,42.867924528301884
233,51,39,12,11,40,133,201,28.50980392156863,24.2162238236577,28.254364411636416,57.05882352941177,42.94117647058823
234,50,37,13,11,39,133,203,29.2,22.01993904878766,31.85699333743561,56.36,43.64
235,50,38,12,11,39,133,203,30.2,20.677191505665,32.602808494334994,56.36,43.64
236,52,38,14,11,41,133,203,30.03846153846154,22.84303897067878,31.310807183167377,57.26923076923077,42.73076923076923
237,51,37,14,10,41,135,203,29.215686274509803,23.577639212786462,28.816608789572733,56.509803921568626,43.490196078431374
238,52,38,14,10,42,135,203,29.653846153846153,23.395886429824028,28.20026741632982,55.5,44.5
239,50,38,12,10,40,136,204,30.26,21.776145808035643,27.89299480816497,54.02,45.98
240,50,38,12,12,38,136,204,31.26,20.000404938558148,30.139595061441852,54.02,45.98
241,50,39,11,12,38,137,204,31.16,19.383833443597243,31.516166556402755,53.08,46.92
242,50,41,9,11,39,138,204,31.1,19.298787929028084,31.02121207097192,54.52,45.48
243,51,41,10,11,40,138,204,31.49019607843137,19.727525037736953,31.09600437402775,54.588235294117645,45.411764705882355
244,52,41,11,11,41,138,204,31.884615384615383,20.380523628056018,30.75409175655937,54.07692307692308,45.92307692307692
245,55,41,14,11,44,138,204,31.145454545454545,21.201085050497568,30.544369494956975,56.2,43.8
246,55,38,17,10,45,141,204,29.236363636363638,22.413502254276004,30.559932459664434,54.38181818181818,45.61818181818182
247,57,39,18,10,47,141,204,29.210526315789473,22.686413109695575,28.927621978023723,54.228070175438596,45.771929824561404
248,54,36,18,9,45,144,205,28.35185185185185,21.28896871911507,29.99143874561079,54.833333333333336,45.166666666666664
249,51,33,18,8,43,147,205,27.784313725490197,21.184711251038706,28.46464470967993,54.09803921568628,45.90196078431372
